longitude,latitude,fuel_type_code,fuel_type_label,flammability
152.83608416205215,-27.300975518476513,631,Grassland,0.82
152.83699240813806,-27.30084525076082,631,Grassland,0.82
152.83790065209888,-27.300714977414568,631,Grassland,0.82
152.83880889393447,-27.30058469843777,631,Grassland,0.82
152.83971713364477,-27.300454413830426,930,Wildland urban interface 2,0.55
152.84062537122966,-27.300324123592578,930,Wildland urban interface 2,0.55
152.8415336066891,-27.300193827724257,631,Grassland,0.82
152.84244184002299,-27.300063526225436,930,Wildland urban interface 2,0.55
152.84335007123124,-27.29993321909617,631,Grassland,0.82
152.8442583003138,-27.299802906336474,631,Grassland,0.82
152.84516652727052,-27.299672587946354,930,Wildland urban interface 2,0.55
152.84607475210137,-27.299542263925847,930,Wildland urban interface 2,0.55
152.84698297480625,-27.299411934274946,220,Open forest,0.82
152.79717675841556,-27.307363363037258,110,"Tall, closed forest",0.65
152.79808510208625,-27.307233336545753,110,"Tall, closed forest",0.65
152.7989934436354,-27.307103304422842,110,"Tall, closed forest",0.65
152.7999017830629,-27.306973266668546,110,"Tall, closed forest",0.65
152.80081012036868,-27.3068432232829,110,"Tall, closed forest",0.65
152.8017184555527,-27.306713174265887,110,"Tall, closed forest",0.65
152.80262678861482,-27.306583119617553,110,"Tall, closed forest",0.65
152.80353511955497,-27.306453059337894,110,"Tall, closed forest",0.65
152.80444344837304,-27.306322993426942,110,"Tall, closed forest",0.65
152.80535177506903,-27.30619292188473,110,"Tall, closed forest",0.65
152.80626009964274,-27.306062844711253,210,Tall open forest,0.85
152.8071684220942,-27.305932761906544,210,Tall open forest,0.85
152.80807674242322,-27.305802673470605,210,Tall open forest,0.85
152.80898506062982,-27.30567257940348,210,Tall open forest,0.85
152.80989337671383,-27.30554247970517,210,Tall open forest,0.85
152.81080169067522,-27.3054123743757,120,Closed forest,0.6
152.81171000251385,-27.30528226341507,220,Open forest,0.82
152.8126183122297,-27.30515214682334,210,Tall open forest,0.85
152.81352661982262,-27.30502202460049,210,Tall open forest,0.85
152.81443492529257,-27.304891896746554,220,Open forest,0.82
152.81534322863948,-27.30476176326155,220,Open forest,0.82
152.81625152986322,-27.30463162414549,631,Grassland,0.82
152.81715982896375,-27.30450147939841,631,Grassland,0.82
152.81806812594095,-27.304371329020316,930,Wildland urban interface 2,0.55
152.81897642079474,-27.304241173011228,631,Grassland,0.82
152.81988471352506,-27.304111011371152,631,Grassland,0.82
152.82079300413181,-27.303980844100145,930,Wildland urban interface 2,0.55
152.8217012926149,-27.303850671198195,631,Grassland,0.82
152.82260957897427,-27.303720492665292,930,Wildland urban interface 2,0.55
152.82351786320976,-27.303590308501516,930,Wildland urban interface 2,0.55
152.8244261453214,-27.303460118706866,930,Wildland urban interface 2,0.55
152.82533442530902,-27.30332992328134,930,Wildland urban interface 2,0.55
152.8262427031726,-27.303199722224978,930,Wildland urban interface 2,0.55
152.82715097891196,-27.303069515537793,930,Wildland urban interface 2,0.55
152.8280592525271,-27.30293930321979,631,Grassland,0.82
152.82896752401794,-27.30280908527101,230,Low open forest,0.75
152.82987579338433,-27.30267886169145,220,Open forest,0.82
152.83078406062623,-27.302548632481145,220,Open forest,0.82
152.83169232574357,-27.3024183976401,930,Wildland urban interface 2,0.55
152.8326005887362,-27.30228815716836,930,Wildland urban interface 2,0.55
152.8335088496041,-27.302157911065915,510,Tall shrubland,0.78
152.8344171083472,-27.302027659332794,431,Low woodland with shrubby understory,0.75
152.83532536496534,-27.301897401969025,220,Open forest,0.82
152.83623361945845,-27.30176713897461,220,Open forest,0.82
152.83714187182653,-27.301636870349594,631,Grassland,0.82
152.8380501220694,-27.301506596093954,631,Grassland,0.82
152.83895837018704,-27.301376316207737,631,Grassland,0.82
152.83986661617934,-27.30124603069097,631,Grassland,0.82
152.84077486004617,-27.301115739543636,930,Wildland urban interface 2,0.55
152.84168310178754,-27.300985442765786,631,Grassland,0.82
152.84259134140328,-27.300855140357438,930,Wildland urban interface 2,0.55
152.84349957889336,-27.300724832318597,930,Wildland urban interface 2,0.55
152.84440781425766,-27.300594518649273,631,Grassland,0.82
152.8453160474961,-27.300464199349523,631,Grassland,0.82
152.84622427860867,-27.300333874419334,631,Grassland,0.82
152.84713250759518,-27.30020354385873,421,Woodland with shrubby understory,0.8
152.79732594776937,-27.308155022353237,110,"Tall, closed forest",0.65
152.7982342977242,-27.308024994953776,110,"Tall, closed forest",0.65
152.79914264555742,-27.307894961922877,110,"Tall, closed forest",0.65
152.800050991269,-27.30776492326057,110,"Tall, closed forest",0.65
152.8009593348588,-27.307634878966848,110,"Tall, closed forest",0.65
152.80186767632674,-27.307504829041747,110,"Tall, closed forest",0.65
152.80277601567278,-27.30737477348529,110,"Tall, closed forest",0.65
152.80368435289682,-27.307244712297486,110,"Tall, closed forest",0.65
152.80459268799873,-27.307114645478347,110,"Tall, closed forest",0.65
152.80550102097845,-27.306984573027922,110,"Tall, closed forest",0.65
152.80640935183595,-27.30685449494617,110,"Tall, closed forest",0.65
152.8073176805711,-27.306724411233184,110,"Tall, closed forest",0.65
152.80822600718378,-27.30659432188893,120,Closed forest,0.6
152.80913433167396,-27.306464226913445,220,Open forest,0.82
152.81004265404152,-27.306334126306744,210,Tall open forest,0.85
152.8109509742864,-27.306204020068858,120,Closed forest,0.6
152.8118592924085,-27.306073908199767,220,Open forest,0.82
152.8127676084078,-27.305943790699573,210,Tall open forest,0.85
152.81367592228412,-27.305813667568188,220,Open forest,0.82
152.81458423403743,-27.305683538805706,210,Tall open forest,0.85
152.8154925436676,-27.305553404412116,220,Open forest,0.82
152.8164008511746,-27.305423264387436,631,Grassland,0.82
152.81730915655834,-27.305293118731694,631,Grassland,0.82
152.81821745981867,-27.305162967444915,920,Wildland urban interface 1,0.7
152.8191257609556,-27.305032810527113,631,Grassland,0.82
152.82003405996898,-27.304902647978306,631,Grassland,0.82
152.82094235685875,-27.304772479798476,631,Grassland,0.82
152.82185065162483,-27.304642305987702,930,Wildland urban interface 2,0.55
152.8227589442671,-27.304512126545983,930,Wildland urban interface 2,0.55
152.8236672347855,-27.304381941473316,930,Wildland urban interface 2,0.55
152.82457552317996,-27.304251750769737,631,Grassland,0.82
152.8254838094504,-27.30412155443526,930,Wildland urban interface 2,0.55
152.8263920935967,-27.303991352469925,930,Wildland urban interface 2,0.55
152.8273003756188,-27.303861144873707,930,Wildland urban interface 2,0.55
152.8282086555166,-27.303730931646665,631,Grassland,0.82
152.82911693329004,-27.303600712788782,230,Low open forest,0.75
152.83002520893902,-27.303470488300125,220,Open forest,0.82
152.83093348246345,-27.303340258180658,220,Open forest,0.82
152.83184175386324,-27.30321002243045,930,Wildland urban interface 2,0.55
152.83275002313835,-27.303079781049476,930,Wildland urban interface 2,0.55
152.83365829028864,-27.302949534037786,510,Tall shrubland,0.78
152.83456655531407,-27.302819281395386,431,Low woodland with shrubby understory,0.75
152.83547481821452,-27.3026890231223,220,Open forest,0.82
152.8363830789899,-27.302558759218535,631,Grassland,0.82
152.83729133764015,-27.302428489684125,631,Grassland,0.82
152.83819959416522,-27.302298214519084,631,Grassland,0.82
152.839107848565,-27.30216793372341,631,Grassland,0.82
152.84001610083934,-27.30203764729717,631,Grassland,0.82
152.84092435098822,-27.301907355240328,930,Wildland urban interface 2,0.55
152.84183259901155,-27.301777057552933,631,Grassland,0.82
152.84274084490926,-27.30164675423499,631,Grassland,0.82
152.84364908868122,-27.30151644528654,631,Grassland,0.82
152.84455733032738,-27.301386130707584,220,Open forest,0.82
152.84546556984765,-27.30125581049816,510,Tall shrubland,0.78
152.84637380724195,-27.30112548465824,510,Tall shrubland,0.78
152.8472820425102,-27.300995153187902,421,Woodland with shrubby understory,0.8
152.79747513924465,-27.308946681416753,110,"Tall, closed forest",0.65
152.7983834954837,-27.3088166531093,110,"Tall, closed forest",0.65
152.79929184960113,-27.308686619170384,110,"Tall, closed forest",0.65
152.80020020159682,-27.30855657960001,110,"Tall, closed forest",0.65
152.80110855147072,-27.308426534398194,110,"Tall, closed forest",0.65
152.80201689922274,-27.308296483564963,110,"Tall, closed forest",0.65
152.80292524485276,-27.30816642710036,110,"Tall, closed forest",0.65
152.80383358836073,-27.308036365004348,110,"Tall, closed forest",0.65
152.8047419297466,-27.307906297277,110,"Tall, closed forest",0.65
152.80565026901021,-27.307776223918307,110,"Tall, closed forest",0.65
152.8065586061515,-27.30764614492828,110,"Tall, closed forest",0.65
152.80746694117042,-27.307516060306945,110,"Tall, closed forest",0.65
152.80837527406683,-27.30738597005435,110,"Tall, closed forest",0.65
152.8092836048407,-27.307255874170473,210,Tall open forest,0.85
152.81019193349192,-27.307125772655358,210,Tall open forest,0.85
152.8111002600204,-27.306995665508996,120,Closed forest,0.6
152.81200858442608,-27.306865552731434,120,Closed forest,0.6
152.81291690670886,-27.306735434322672,220,Open forest,0.82
152.81382522686866,-27.306605310282762,220,Open forest,0.82
152.81473354490538,-27.306475180611677,220,Open forest,0.82
152.81564186081894,-27.30634504530947,230,Low open forest,0.75
152.81655017460926,-27.306214904376134,631,Grassland,0.82
152.81745848627625,-27.306084757811718,631,Grassland,0.82
152.81836679581986,-27.305954605616208,631,Grassland,0.82
152.81927510323996,-27.305824447789636,631,Grassland,0.82
152.8201834085365,-27.305694284332038,631,Grassland,0.82
152.82109171170936,-27.305564115243403,631,Grassland,0.82
152.82200001275848,-27.30543394052378,631,Grassland,0.82
152.8229083116838,-27.305303760173164,631,Grassland,0.82
152.82381660848517,-27.305173574191574,631,Grassland,0.82
152.82472490316255,-27.305043382579033,631,Grassland,0.82
152.82563319571585,-27.30491318533558,631,Grassland,0.82
152.826541486145,-27.304782982461212,631,Grassland,0.82
152.8274497744499,-27.30465277395594,631,Grassland,0.82
152.82835806063045,-27.304522559819805,631,Grassland,0.82
152.8292663446866,-27.304392340052818,930,Wildland urban interface 2,0.55
152.8301746266182,-27.304262114655,930,Wildland urban interface 2,0.55
152.83108290642528,-27.30413188362636,960,Bare ground,0.05
152.83199118410764,-27.30400164696691,960,Bare ground,0.05
152.83289945966527,-27.303871404676695,220,Open forest,0.82
152.83380773309804,-27.303741156755716,220,Open forest,0.82
152.83471600440586,-27.303610903204007,431,Low woodland with shrubby understory,0.75
152.8356242735887,-27.303480644021562,220,Open forest,0.82
152.83653254064646,-27.303350379208414,930,Wildland urban interface 2,0.55
152.837440805579,-27.303220108764574,631,Grassland,0.82
152.83834906838632,-27.303089832690087,631,Grassland,0.82
152.8392573290683,-27.30295955098493,631,Grassland,0.82
152.8401655876248,-27.30282926364916,631,Grassland,0.82
152.8410738440558,-27.302698970682773,631,Grassland,0.82
152.84198209836123,-27.302568672085776,631,Grassland,0.82
152.84289035054096,-27.302438367858233,631,Grassland,0.82
152.84379860059488,-27.302308058000143,930,Wildland urban interface 2,0.55
152.844706848523,-27.302177742511486,930,Wildland urban interface 2,0.55
