longitude,latitude,elevation
153.01666666697818,-27.46416666673353,17
153.01750000031154,-27.46416666673353,18
153.01833333364488,-27.46416666673353,19
153.01916666697824,-27.46416666673353,20
153.02000000031157,-27.46416666673353,29
153.02083333364493,-27.46416666673353,41
153.02166666697826,-27.46416666673353,41
153.02250000031162,-27.46416666673353,44
153.02333333364496,-27.46416666673353,38
153.02416666697832,-27.46416666673353,36
153.02500000031165,-27.46416666673353,39
153.025833333645,-27.46416666673353,43
153.02666666697834,-27.46416666673353,49
153.0275000003117,-27.46416666673353,37
153.02833333364504,-27.46416666673353,27
153.0291666669784,-27.46416666673353,32
153.00916666697807,-27.465000000066876,8
153.0100000003114,-27.465000000066876,8
153.01083333364477,-27.465000000066876,11
153.0116666669781,-27.465000000066876,15
153.01250000031146,-27.465000000066876,24
153.0133333336448,-27.465000000066876,31
153.01416666697816,-27.465000000066876,30
153.0150000003115,-27.465000000066876,26
153.01583333364485,-27.465000000066876,20
153.01666666697818,-27.465000000066876,21
153.01750000031154,-27.465000000066876,20
153.01833333364488,-27.465000000066876,19
153.01916666697824,-27.465000000066876,19
153.02000000031157,-27.465000000066876,20
153.02083333364493,-27.465000000066876,35
153.02166666697826,-27.465000000066876,42
153.02250000031162,-27.465000000066876,51
153.02333333364496,-27.465000000066876,48
153.02416666697832,-27.465000000066876,45
153.02500000031165,-27.465000000066876,40
153.025833333645,-27.465000000066876,36
153.02666666697834,-27.465000000066876,34
153.0275000003117,-27.465000000066876,33
153.02833333364504,-27.465000000066876,42
153.0291666669784,-27.465000000066876,43
153.00916666697807,-27.465833333400223,9
153.0100000003114,-27.465833333400223,13
153.01083333364477,-27.465833333400223,14
153.0116666669781,-27.465833333400223,18
153.01250000031146,-27.465833333400223,27
153.0133333336448,-27.465833333400223,26
153.01416666697816,-27.465833333400223,23
153.0150000003115,-27.465833333400223,20
153.01583333364485,-27.465833333400223,22
153.01666666697818,-27.465833333400223,18
153.01750000031154,-27.465833333400223,19
153.01833333364488,-27.465833333400223,26
153.01916666697824,-27.465833333400223,27
153.02000000031157,-27.465833333400223,20
153.02083333364493,-27.465833333400223,18
153.02166666697826,-27.465833333400223,28
153.02250000031162,-27.465833333400223,42
153.02333333364496,-27.465833333400223,49
153.02416666697832,-27.465833333400223,40
153.02500000031165,-27.465833333400223,40
153.025833333645,-27.465833333400223,33
153.02666666697834,-27.465833333400223,29
153.0275000003117,-27.465833333400223,22
153.02833333364504,-27.465833333400223,36
153.0291666669784,-27.465833333400223,38
153.00916666697807,-27.46666666673357,7
153.0100000003114,-27.46666666673357,10
153.01083333364477,-27.46666666673357,15
153.0116666669781,-27.46666666673357,24
153.01250000031146,-27.46666666673357,25
153.0133333336448,-27.46666666673357,26
153.01416666697816,-27.46666666673357,22
153.0150000003115,-27.46666666673357,21
153.01583333364485,-27.46666666673357,21
153.01666666697818,-27.46666666673357,23
153.01750000031154,-27.46666666673357,22
153.01833333364488,-27.46666666673357,34
153.01916666697824,-27.46666666673357,31
153.02000000031157,-27.46666666673357,28
153.02083333364493,-27.46666666673357,10
153.02166666697826,-27.46666666673357,13
153.02250000031162,-27.46666666673357,23
